source,target
covidnewsCH,
covidnewsCH,
Theupdater_,
covidnewsCH,
NCWIndia,
Matrixxmedia,
MarketNewsLK,
susan_e_winter,
BobbyCaldwell91,
Nicole_L_,
ZebraPsych,
RachelMcelroySR,
lizzymasonart,
stilicho359,
boutiqueheathe1,
NancyTh29360368,
crysophie,
southgateharper,
shandaar7,
SukanyaDevNanda,
Nat1Rolled,
bezotes,
thinkpuertorico,
FranzFranzen5,
DallenJPearson,
EdCove19,
Balance56089032,
mamah1987,mamah1987
ALEX_F_CA,
Gjallarhornet,
teluguinnews,
acmtilim,
YorkieWR,
nikpat101,
mahsood_mazloom,
BPMonkey,
FXDAXTrader,
sseewolf,
Romaithy10,
NeilSul70388398,
redbob999,
TheKurshComedy,
TheUnKaren,
Lovescience15,
Margybargy,
StarZonecc,
fairyviewroad,
NewmanRCCollege,
jfjabbo,
terryreads,
RoseSmi5h,
TeamDamis,
ACleanVision,
AdriGaf79,
GeorgeKerry10,
TruthSite,
RealFacts12345,
zhaba2374,
patwalsh664,
RichaArora26,
ACDMLS,
SusanDaisy3363,DanCrenshawTX
saikatblogger,
ScienceShared,
noordenstein,
JohnJig,
CedarHCards,
DentonRobert,
SukanyaDevNanda,
DimKomesarios,
hazardppp,
iwanttobekate,
Fiona_Konca,
AndyHeathman,
BAboutWriting,
CollectorDnh,
28Zizou,
TurntableKitty,
LiuBaoBei1,realDonaldTrump
Sueworld,
nojokingitstrue,
Bletchman,
Benjamin_M_Wood,
anngibb13224775,
tonto_1964,
KhawarOzayr,
IAmFrankButcher,
NoWasteWorld1,Louisdeconstanc
The12thImam_com,
xyfii_,
UKEmpowerWomen,
Disqeet,KIMAVENT
DrLedPeint,
goldencanuk,
sarahmac48,
hejaabifeminist,
elsbtmar,
TreciaHart,JoeBiden
FertilizerMkts,
NJRugbyGrl,SkyNews
quakerorts,
PaintInWords,
6nsinvt,
DarrellTaylor66,
PaulSmith061059,
jane__eden,
radiodandy75,
jannelautanala,
c_dabrowski,
count_lippe,
HGantzerMD,
MissMaryJane03,
ProfessorsBlogg,
campbell_ar,
bitcoinconnect,
phyl_joy,
claudiobarra2,
MMViverito,
jeni_houser,
MimiTexasAngel,
Oldtimerabroad,
PirieIan,
Ariana_Activist,
leadpacer,
fergusmkpherson,
NNSCAG,
de_prudhoe,
markwrightuk88,
SabinaWalker18,
IndyGretchenRae,
werrylettuce,
JawadAz60999279,
SukanyaDevNanda,
ABMummyGrace,
Paul_1_9_7_4,
moscho0706,
audreylui,
D4VEH,
PaulCollings13,
Rocketsinaus,
MirWriter,
RafiZunaira,
daniel_toloko,
DrLeeRubin,
Richlin11a,
SukanyaDevNanda,
bitcoinconnect,
JeffreyMeursing,
nrnsfyaa,
eithne52,
airnews_hyd,
TruthISitjustIS,
BethHare13,
PriapusIQ,
1023KISSFM,
SmartAbbey94,
monkey449,
coregenomics,
Bruno_J_Navarro,
mariong1,
b_p_cahill,
debatenothate2,
HolyBasil7,
bigCol123,
autismepi,
chalkypj,
andreasgerden,
gooner19821,
hants_hippy,
CeeJay0123,
AntiOttawa,
North2North,
jferguson18,
EchoSerenityXb,
AngloBeat,
DineshK43146824,
bitmaxis,
BLAENAUFFESTNOW,
gigga_wat,
Philpvfc06,
AntiOttawa,
misslauraleigh,
Vicster82,
WSSmith_wsg,
cjgood_22,
Elentari98,
RichardKing633,
RosebudRowie,
soulfuldemi7,
BermudaS3,
peterandann,
Sensus_Fidelium,
helena_q5,
MelPemberton19,
DirkDigglinator,
Findantruth,
TerenceSmart1,
LiuBaoBei1,
y2kshack,
kezhrs,
me_too,
rainrider101,
drpjeya,
retweetbossman,
singularity69,
Hooksy66,LBofBexley
Powerful66,
sarahnoor96,
BoonBoon75,
LiuBaoBei1,ClarkeMicah
tomasnavarroand,
meridianroseml,
Pumbaa1983,
titaniumbean,
swishclean,
DAVIDVGOLIATH,
RobGT81,
Mnorthernmonkey,
AmandaHunter10,
NHAparty,
CookieFreshPimp,
Cdmit,paulsperry_
abhibisht89,
marcuschown,
bpeterkin1,
The_Lady_Red,
SukanyaDevNanda,ranchipolice
Lathom54,
13VB,
swish_services,
VABVOX,
POMP_MMXIX,
CelesteReberger,
hedgesPterry,
DennisBailey,
cryptokakuji,
Mr_Pique,MassGovernor
MSMWatchdog2013,
CoachEMIII,
JanVoordouw,
RedEyeJedi2303,
Chingboy4,
RobertHall1996,
LiuBaoBei1,SaraCarterDC
shihtzu44,
TVibrations333,
MarkCarroll20,
johanhaglund,
MaryAnnGreanier,
HRafhumcar,
illitteratti,
TheUnKaren,
Mitrophan_Ruth,
Tertianship,
imbasingle,
needs_planet,
LizaRutherford7,
FrequencyHi,
montreall,
paddypaws7,
ronnypayne,
BQB2bugasault1,
maggie_tat,
nowackirobin,
turabnaqvioffi,
pinkpunkymonkey,
MarkCarroll20,
christina_7mrs,
AntonWohlfahrt,
PublishingDavis,
bhalpop,No1Hollyfreedom
harrowboy66,
